"category_id","name","url_name","description","meta_description","meta_keywords","auto_category_term","num_videos","last_video_id","image_id"
2087,"Stand Up (No Gi) - Disengaged - Disengaged - Arm Drag - Offensive - Submissions","stand-up-no-gi-disengaged-disengaged-arm-drag-offensive-submissions","","","","",3,2013,0
2088,"Stand Up (No Gi) - Disengaged - Disengaged - Arm Drag - Offensive - Back Takes","stand-up-no-gi-disengaged-disengaged-arm-drag-offensive-back-takes","","","","",4,2013,0
2089,"Stand Up (No Gi) - Zone 1 - Wrist Control - 2 On 1 - Offensive - Guard Pulls","stand-up-no-gi-zone-1-wrist-control-2-on-1-offensive-guard-pulls","","","","",1,2013,0
2090,"Stand Up (No Gi) - Zone 1 - Tie Up - 50 50 - Offensive - Guard Pulls","stand-up-no-gi-zone-1-tie-up-50-50-offensive-guard-pulls","","","","",1,2013,0
2091,"Stand Up (Gi) - Zone 1 - Lapel Grip - 50 50 - Offensive - Submissions","stand-up-gi-zone-1-lapel-grip-50-50-offensive-submissions","","","","",21,2013,0
2092,"Stand Up (Gi) - Zone 1 - Lapel Grip - Double Lapel - Offensive - Throws","stand-up-gi-zone-1-lapel-grip-double-lapel-offensive-throws","","","","",1,2013,0
2093,"Stand Up (Gi) - Zone 1 - Lapel Grip - Sleeve - Offensive - Throws","stand-up-gi-zone-1-lapel-grip-sleeve-offensive-throws","","","","",7,2013,0
2094,"Stand Up (Gi) - Zone 1 - Lapel Grip - 50 50 - Offensive - Throws","stand-up-gi-zone-1-lapel-grip-50-50-offensive-throws","","","","",17,2013,0
2096,"Stand Up (Gi) - Zone 1 - Lapel Grip - 50 50 - Offensive - Guard Pulls","stand-up-gi-zone-1-lapel-grip-50-50-offensive-guard-pulls","","","","",12,2013,0
2097,"Stand Up (Gi) - Zone 1 - Lapel Grip - Sleeve - Offensive - Guard Pulls","stand-up-gi-zone-1-lapel-grip-sleeve-offensive-guard-pulls","","","","",13,2015,0
2098,"Stand Up (Gi) - Zone 1 - Lapel Grip - Single Lapel - Offensive - Guard Pulls","stand-up-gi-zone-1-lapel-grip-single-lapel-offensive-guard-pulls","","","","",3,2013,0
2099,"Stand Up (Gi) - Zone 1 - Lapel Grip - Sleeve - Offensive - Submissions","stand-up-gi-zone-1-lapel-grip-sleeve-offensive-submissions","","","","",4,2013,0
2100,"Stand Up (No Gi) - Zone 1 - Tie Up - 50 50 - Offensive - Throws","stand-up-no-gi-zone-1-tie-up-50-50-offensive-throws","","","","",9,2013,0
2101,"Stand Up (Gi) - Zone 1 - Sleeve Control - Double Sleeve - Offensive - Throws","stand-up-gi-zone-1-sleeve-control-double-sleeve-offensive-throws","","","","",1,2013,0
2102,"Stand Up (Gi) - Zone 1 - Sleeve Control - Cross Sleeve - Offensive - Guard Pulls","stand-up-gi-zone-1-sleeve-control-cross-sleeve-offensive-guard-pulls","","","","",5,2013,0
